               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.026834,            0.023154,           0.0033157,             0.79887,             0.73608,             0.77671,             0.36588,            0.031963,             0.02372,             0.01585,           0.0066191,           0.0066191,           0.0066191
                 128,            0.026654,            0.021969,           0.0031058,             0.83087,             0.70984,             0.78895,             0.38305,            0.031773,            0.023735,            0.017421,           0.0065734,           0.0065734,           0.0065734
                 129,            0.026255,            0.021428,           0.0033848,             0.77269,             0.74113,             0.77972,             0.38844,            0.030918,            0.024741,              0.0176,           0.0065276,           0.0065276,           0.0065276
                 130,             0.02675,            0.021432,           0.0033277,             0.77555,             0.73136,             0.78711,             0.37617,            0.031261,            0.024227,            0.016665,           0.0064816,           0.0064816,           0.0064816
                 131,            0.027178,            0.022381,           0.0031607,             0.78406,             0.72354,             0.78138,             0.37198,            0.031657,            0.024479,            0.016265,           0.0064356,           0.0064356,           0.0064356
                 132,            0.026537,            0.022139,           0.0037282,             0.80116,             0.71507,             0.77371,              0.3805,            0.031722,            0.024662,            0.018269,           0.0063895,           0.0063895,           0.0063895
                 133,            0.025525,             0.02156,           0.0038661,             0.81196,             0.73059,             0.79632,             0.39495,            0.031597,            0.024661,            0.016518,           0.0063432,           0.0063432,           0.0063432
                 134,            0.025347,             0.02124,           0.0039853,             0.84771,             0.70902,             0.78607,             0.37371,            0.032305,            0.025081,            0.016073,           0.0062969,           0.0062969,           0.0062969
                 135,            0.025536,            0.020717,           0.0031695,             0.78386,             0.74732,             0.78466,             0.36439,            0.032962,            0.024477,            0.017266,           0.0062505,           0.0062505,           0.0062505
                 136,            0.025396,            0.020397,           0.0033086,             0.80977,             0.72121,             0.77727,             0.36508,            0.032869,            0.024448,            0.015969,            0.006204,            0.006204,            0.006204
                 137,            0.026036,            0.020757,           0.0035761,              0.8415,             0.70333,             0.77336,             0.37187,            0.032291,            0.024688,            0.017483,           0.0061574,           0.0061574,           0.0061574
                 138,            0.026367,            0.021856,           0.0031744,             0.81545,             0.72788,             0.77336,             0.36857,            0.032646,             0.02516,            0.016822,           0.0061107,           0.0061107,           0.0061107
                 139,             0.02532,            0.021006,           0.0030954,             0.74518,             0.73667,             0.77262,             0.36902,            0.031661,            0.024959,            0.017753,            0.006064,            0.006064,            0.006064
                 140,            0.026204,            0.020526,           0.0030958,             0.81074,             0.70052,             0.77711,             0.37686,            0.031452,            0.024765,            0.016979,           0.0060172,           0.0060172,           0.0060172
                 141,            0.026347,            0.021356,           0.0032415,             0.78224,             0.73201,             0.78585,             0.38224,            0.032614,            0.025969,            0.015979,           0.0059704,           0.0059704,           0.0059704
                 142,            0.025539,            0.021157,           0.0029007,             0.81671,             0.72531,              0.7839,             0.37517,            0.032164,            0.024703,            0.017128,           0.0059235,           0.0059235,           0.0059235
                 143,            0.025062,            0.020383,           0.0031388,             0.79805,             0.73446,             0.79568,             0.39667,            0.032057,            0.024677,            0.018078,           0.0058766,           0.0058766,           0.0058766
                 144,            0.025522,            0.020725,           0.0030525,             0.81178,             0.69129,             0.78008,             0.35725,            0.033067,            0.024999,            0.018809,           0.0058296,           0.0058296,           0.0058296
                 145,            0.025354,            0.020672,           0.0032113,             0.75664,             0.75503,             0.77386,             0.37259,            0.033085,            0.025289,            0.017402,           0.0057826,           0.0057826,           0.0057826
                 146,            0.024644,            0.019866,           0.0030429,             0.78329,             0.73139,             0.77581,             0.38053,            0.032607,            0.025101,            0.017135,           0.0057355,           0.0057355,           0.0057355
                 147,            0.025042,            0.020723,           0.0031082,              0.8019,             0.71637,             0.77839,             0.35996,            0.033315,            0.025216,            0.015798,           0.0056884,           0.0056884,           0.0056884
                 148,            0.025318,            0.021097,            0.003385,              0.7634,             0.76128,             0.79341,             0.37668,            0.033347,            0.024479,            0.014117,           0.0056413,           0.0056413,           0.0056413
                 149,            0.024646,            0.020554,           0.0032093,             0.78601,             0.73548,             0.78236,             0.36961,            0.033766,            0.025043,             0.01691,           0.0055942,           0.0055942,           0.0055942
                 150,            0.024627,            0.020087,           0.0031446,             0.79862,             0.71683,             0.77624,              0.3692,            0.032831,            0.026037,            0.016764,           0.0055471,           0.0055471,           0.0055471
                 151,            0.024493,            0.020449,           0.0028181,             0.71698,             0.78406,              0.7657,             0.36819,            0.031854,            0.025546,            0.015865,              0.0055,              0.0055,              0.0055
                 152,             0.02459,            0.020057,           0.0028467,             0.75206,             0.74927,             0.78976,              0.3691,            0.032135,             0.02633,            0.017706,           0.0054529,           0.0054529,           0.0054529
                 153,            0.025115,            0.020089,           0.0026854,             0.75315,             0.77229,             0.77527,             0.37226,            0.032224,            0.025595,             0.01867,           0.0054058,           0.0054058,           0.0054058
                 154,             0.02518,            0.020664,            0.003462,             0.78552,             0.71683,             0.76283,             0.36548,            0.031809,            0.024966,             0.01937,           0.0053587,           0.0053587,           0.0053587
                 155,            0.024333,            0.020155,           0.0029848,             0.74229,             0.77164,             0.77021,             0.36447,            0.031727,            0.024886,            0.015532,           0.0053116,           0.0053116,           0.0053116
                 156,            0.024084,            0.020505,            0.003315,              0.7926,             0.74784,             0.78978,             0.38659,            0.031446,            0.024817,            0.015377,           0.0052645,           0.0052645,           0.0052645
